filename,folder
a\a_990.wav,a
a\a_276.wav,a
a\a_347.wav,a
a\a_947.wav,a
a\a_772.wav,a
a\a_355.wav,a
a\a_95.wav,a
a\a_605.wav,a
a\a_953.wav,a
a\a_753.wav,a
a\a_570.wav,a
a\a_939.wav,a
a\a_472.wav,a
a\a_361.wav,a
a\a_305.wav,a
a\a_325.wav,a
a\a_470.wav,a
a\a_445.wav,a
a\a_394.wav,a
a\a_555.wav,a
a\a_365.wav,a
a\a_466.wav,a
a\a_847.wav,a
a\a_823.wav,a
a\a_669.wav,a
a\a_822.wav,a
a\a_787.wav,a
a\a_1013.wav,a
a\a_853.wav,a
a\a_849.wav,a
a\a_601.wav,a
a\a_567.wav,a
a\a_1066.wav,a
a\a_453.wav,a
a\a_295.wav,a
a\a_1055.wav,a
a\a_189.wav,a
a\a_1035.wav,a
a\a_383.wav,a
a\a_558.wav,a
a\a_209.wav,a
a\a_214.wav,a
a\a_837.wav,a
a\a_105.wav,a
a\a_495.wav,a
a\a_131.wav,a
a\a_397.wav,a
a\a_557.wav,a
a\a_1022.wav,a
a\a_113.wav,a
a\a_387.wav,a
a\a_933.wav,a
a\a_242.wav,a
a\a_300.wav,a
a\a_76.wav,a
a\a_1024.wav,a
a\a_475.wav,a
a\a_888.wav,a
a\a_106.wav,a
a\a_100.wav,a
a\a_873.wav,a
a\a_636.wav,a
a\a_86.wav,a
a\a_457.wav,a
a\a_202.wav,a
a\a_314.wav,a
a\a_592.wav,a
a\a_585.wav,a
a\a_94.wav,a
a\a_323.wav,a
a\a_107.wav,a
a\a_800.wav,a
a\a_57.wav,a
a\a_471.wav,a
a\a_177.wav,a
a\a_690.wav,a
a\a_1086.wav,a
a\a_211.wav,a
a\a_659.wav,a
a\a_342.wav,a
a\a_222.wav,a
a\a_656.wav,a
a\a_949.wav,a
a\a_92.wav,a
a\a_454.wav,a
a\a_663.wav,a
a\a_333.wav,a
a\a_239.wav,a
a\a_641.wav,a
a\a_447.wav,a
a\a_480.wav,a
a\a_752.wav,a
a\a_439.wav,a
a\a_1045.wav,a
a\a_462.wav,a
a\a_359.wav,a
a\a_70.wav,a
a\a_406.wav,a
a\a_999.wav,a
a\a_1.wav,a
a\a_1094.wav,a
a\a_508.wav,a
a\a_203.wav,a
a\a_234.wav,a
a\a_315.wav,a
a\a_748.wav,a
a\a_284.wav,a
a\a_997.wav,a
a\a_926.wav,a
a\a_652.wav,a
a\a_402.wav,a
a\a_169.wav,a
a\a_74.wav,a
a\a_179.wav,a
a\a_522.wav,a
a\a_970.wav,a
a\a_372.wav,a
a\a_270.wav,a
a\a_769.wav,a
a\a_63.wav,a
a\a_529.wav,a
a\a_88.wav,a
a\a_903.wav,a
a\a_465.wav,a
a\a_878.wav,a
a\a_446.wav,a
a\a_746.wav,a
a\a_30.wav,a
a\a_53.wav,a
a\a_384.wav,a
a\a_923.wav,a
a\a_178.wav,a
a\a_915.wav,a
a\a_1004.wav,a
a\a_136.wav,a
a\a_691.wav,a
a\a_181.wav,a
a\a_378.wav,a
a\a_380.wav,a
a\a_443.wav,a
a\a_587.wav,a
a\a_951.wav,a
a\a_1000.wav,a
a\a_5.wav,a
a\a_42.wav,a
a\a_225.wav,a
a\a_935.wav,a
a\a_1070.wav,a
a\a_938.wav,a
a\a_1018.wav,a
a\a_833.wav,a
a\a_269.wav,a
a\a_979.wav,a
a\a_868.wav,a
a\a_159.wav,a
a\a_46.wav,a
a\a_196.wav,a
a\a_760.wav,a
a\a_518.wav,a
a\a_581.wav,a
a\a_193.wav,a
a\a_982.wav,a
a\a_836.wav,a
a\a_287.wav,a
a\a_192.wav,a
a\a_118.wav,a
a\a_1008.wav,a
a\a_909.wav,a
a\a_279.wav,a
a\a_779.wav,a
a\a_1012.wav,a
a\a_146.wav,a
a\a_860.wav,a
a\a_886.wav,a
a\a_694.wav,a
a\a_631.wav,a
a\a_819.wav,a
a\a_386.wav,a
a\a_157.wav,a
a\a_265.wav,a
a\a_405.wav,a
a\a_770.wav,a
a\a_763.wav,a
a\a_705.wav,a
a\a_360.wav,a
a\a_521.wav,a
a\a_882.wav,a
a\a_1073.wav,a
a\a_942.wav,a
a\a_1038.wav,a
a\a_785.wav,a
a\a_877.wav,a
a\a_117.wav,a
a\a_685.wav,a
a\a_572.wav,a
a\a_852.wav,a
a\a_562.wav,a
a\a_286.wav,a
a\a_666.wav,a
a\a_254.wav,a
a\a_824.wav,a
a\a_867.wav,a
a\a_808.wav,a
a\a_896.wav,a
a\a_108.wav,a
a\a_595.wav,a
a\a_539.wav,a
a\a_329.wav,a
a\a_614.wav,a
a\a_649.wav,a
a\a_216.wav,a
a\a_620.wav,a
a\a_414.wav,a
a\a_1019.wav,a
a\a_320.wav,a
a\a_807.wav,a
a\a_458.wav,a
a\a_608.wav,a
a\a_945.wav,a
a\a_535.wav,a
a\a_568.wav,a
a\a_664.wav,a
a\a_766.wav,a
a\a_58.wav,a
a\a_15.wav,a
a\a_1092.wav,a
a\a_893.wav,a
a\a_1091.wav,a
a\a_201.wav,a
a\a_229.wav,a
a\a_713.wav,a
a\a_44.wav,a
a\a_165.wav,a
a\a_871.wav,a
a\a_891.wav,a
a\a_588.wav,a
a\a_17.wav,a
a\a_79.wav,a
a\a_698.wav,a
a\a_1050.wav,a
a\a_1056.wav,a
a\a_796.wav,a
a\a_275.wav,a
a\a_313.wav,a
a\a_523.wav,a
a\a_80.wav,a
a\a_367.wav,a
a\a_452.wav,a
a\a_363.wav,a
a\a_610.wav,a
a\a_674.wav,a
a\a_418.wav,a
a\a_191.wav,a
a\a_29.wav,a
a\a_1085.wav,a
a\a_267.wav,a
a\a_797.wav,a
a\a_725.wav,a
a\a_9.wav,a
a\a_658.wav,a
a\a_509.wav,a
a\a_1097.wav,a
a\a_37.wav,a
a\a_505.wav,a
a\a_841.wav,a
a\a_1078.wav,a
a\a_624.wav,a
a\a_1054.wav,a
a\a_916.wav,a
a\a_526.wav,a
a\a_62.wav,a
a\a_135.wav,a
a\a_1057.wav,a
a\a_171.wav,a
a\a_874.wav,a
a\a_336.wav,a
a\a_834.wav,a
a\a_968.wav,a
a\a_77.wav,a
a\a_626.wav,a
a\a_683.wav,a
a\a_618.wav,a
a\a_974.wav,a
a\a_569.wav,a
a\a_139.wav,a
a\a_497.wav,a
a\a_767.wav,a
a\a_971.wav,a
a\a_559.wav,a
a\a_765.wav,a
a\a_253.wav,a
a\a_500.wav,a
a\a_82.wav,a
a\a_850.wav,a
a\a_660.wav,a
a\a_937.wav,a
a\a_1023.wav,a
a\a_1081.wav,a
a\a_432.wav,a
a\a_205.wav,a
a\a_175.wav,a
a\a_708.wav,a
a\a_936.wav,a
a\a_707.wav,a
a\a_962.wav,a
a\a_854.wav,a
a\a_583.wav,a
a\a_411.wav,a
a\a_506.wav,a
a\a_235.wav,a
a\a_1062.wav,a
a\a_71.wav,a
a\a_134.wav,a
a\a_19.wav,a
a\a_173.wav,a
a\a_584.wav,a
a\a_104.wav,a
a\a_89.wav,a
a\a_793.wav,a
a\a_695.wav,a
a\a_965.wav,a
a\a_848.wav,a
a\a_783.wav,a
a\a_245.wav,a
a\a_621.wav,a
a\a_350.wav,a
a\a_357.wav,a
a\a_665.wav,a
a\a_152.wav,a
a\a_281.wav,a
a\a_81.wav,a
a\a_600.wav,a
a\a_149.wav,a
a\a_806.wav,a
a\a_450.wav,a
a\a_840.wav,a
a\a_176.wav,a
a\a_353.wav,a
a\a_501.wav,a
a\a_303.wav,a
a\a_897.wav,a
a\a_48.wav,a
a\a_395.wav,a
a\a_973.wav,a
a\a_7.wav,a
a\a_682.wav,a
a\a_111.wav,a
a\a_97.wav,a
a\a_413.wav,a
a\a_701.wav,a
a\a_910.wav,a
a\a_776.wav,a
a\a_969.wav,a
a\a_75.wav,a
a\a_1016.wav,a
a\a_954.wav,a
a\a_204.wav,a
a\a_260.wav,a
a\a_653.wav,a
a\a_456.wav,a
a\a_212.wav,a
a\a_427.wav,a
a\a_16.wav,a
a\a_21.wav,a
a\a_718.wav,a
a\a_826.wav,a
a\a_419.wav,a
a\a_301.wav,a
a\a_928.wav,a
a\a_704.wav,a
a\a_566.wav,a
a\a_422.wav,a
a\a_670.wav,a
a\a_842.wav,a
a\a_957.wav,a
a\a_647.wav,a
a\a_1041.wav,a
a\a_96.wav,a
a\a_827.wav,a
a\a_119.wav,a
a\a_59.wav,a
a\a_1046.wav,a
a\a_478.wav,a
a\a_738.wav,a
a\a_219.wav,a
a\a_908.wav,a
a\a_764.wav,a
a\a_977.wav,a
a\a_538.wav,a
a\a_251.wav,a
a\a_351.wav,a
a\a_262.wav,a
a\a_553.wav,a
a\a_914.wav,a
a\a_206.wav,a
a\a_943.wav,a
a\a_817.wav,a
a\a_459.wav,a
a\a_907.wav,a
a\a_434.wav,a
a\a_449.wav,a
a\a_98.wav,a
a\a_194.wav,a
a\a_924.wav,a
a\a_442.wav,a
a\a_838.wav,a
a\a_231.wav,a
a\a_438.wav,a
a\a_645.wav,a
a\a_906.wav,a
a\a_946.wav,a
a\a_865.wav,a
a\a_700.wav,a
a\a_991.wav,a
a\a_72.wav,a
a\a_331.wav,a
a\a_639.wav,a
a\a_477.wav,a
a\a_285.wav,a
a\a_679.wav,a
a\a_960.wav,a
a\a_272.wav,a
a\a_851.wav,a
a\a_243.wav,a
a\a_121.wav,a
a\a_950.wav,a
a\a_507.wav,a
a\a_1014.wav,a
a\a_599.wav,a
a\a_869.wav,a
a\a_571.wav,a
a\a_721.wav,a
a\a_911.wav,a
a\a_913.wav,a
a\a_729.wav,a
a\a_687.wav,a
a\a_486.wav,a
a\a_431.wav,a
a\a_546.wav,a
a\a_129.wav,a
a\a_296.wav,a
a\a_740.wav,a
a\a_224.wav,a
a\a_238.wav,a
a\a_875.wav,a
a\a_602.wav,a
a\a_688.wav,a
a\a_615.wav,a
a\a_673.wav,a
a\a_306.wav,a
a\a_975.wav,a
a\a_282.wav,a
a\a_164.wav,a
a\a_503.wav,a
a\a_1003.wav,a
a\a_1061.wav,a
a\a_958.wav,a
aa\aa_5.wav,aa
aa\aa_2.wav,aa
aa\aa_8.wav,aa
aa\aa_1.wav,aa
abażuru\abażuru_1.wav,abażuru
abb\abb_2.wav,abb
abb\abb_1.wav,abb
aberracją\aberracją_2.wav,aberracją
abonament\abonament_2.wav,abonament
abraham\abraham_2.wav,abraham
abraham\abraham_7.wav,abraham
abraham\abraham_3.wav,abraham
abraham\abraham_6.wav,abraham
abraham\abraham_12.wav,abraham
abraham\abraham_8.wav,abraham
abrahama\abrahama_4.wav,abrahama
abrahama\abrahama_1.wav,abrahama
absalom\absalom_4.wav,absalom
absalom\absalom_2.wav,absalom
absolutne\absolutne_2.wav,absolutne
absolutne\absolutne_5.wav,absolutne
absolutnie\absolutnie_6.wav,absolutnie
absolutnie\absolutnie_2.wav,absolutnie
absolutnie\absolutnie_1.wav,absolutnie
absolutnie\absolutnie_9.wav,absolutnie
absolutny\absolutny_4.wav,absolutny
absolutny\absolutny_3.wav,absolutny
absolutnym\absolutnym_3.wav,absolutnym
absolutnym\absolutnym_2.wav,absolutnym
abstrakcyjną\abstrakcyjną_3.wav,abstrakcyjną
absurd\absurd_5.wav,absurd
absurd\absurd_3.wav,absurd
absurd\absurd_2.wav,absurd
absurdalna\absurdalna_8.wav,absurdalna
absurdalna\absurdalna_3.wav,absurdalna
absurdalna\absurdalna_7.wav,absurdalna
absurdalna\absurdalna_5.wav,absurdalna
absurdalnych\absurdalnych_3.wav,absurdalnych
absurdem\absurdem_1.wav,absurdem
absurdem\absurdem_5.wav,absurdem
absurdu\absurdu_4.wav,absurdu
absurdu\absurdu_2.wav,absurdu
aby\aby_96.wav,aby
aby\aby_105.wav,aby
aby\aby_41.wav,aby
aby\aby_121.wav,aby
aby\aby_24.wav,aby
aby\aby_39.wav,aby
aby\aby_23.wav,aby
aby\aby_13.wav,aby
aby\aby_114.wav,aby
aby\aby_26.wav,aby
aby\aby_117.wav,aby
aby\aby_129.wav,aby
aby\aby_11.wav,aby
aby\aby_33.wav,aby
aby\aby_73.wav,aby
aby\aby_76.wav,aby
aby\aby_95.wav,aby
aby\aby_130.wav,aby
aby\aby_125.wav,aby
aby\aby_144.wav,aby
aby\aby_20.wav,aby
aby\aby_102.wav,aby
aby\aby_141.wav,aby
aby\aby_104.wav,aby
aby\aby_143.wav,aby
aby\aby_132.wav,aby
aby\aby_126.wav,aby
aby\aby_9.wav,aby
aby\aby_50.wav,aby
aby\aby_35.wav,aby
aby\aby_146.wav,aby
aby\aby_153.wav,aby
aby\aby_112.wav,aby
aby\aby_61.wav,aby
aby\aby_148.wav,aby
aby\aby_110.wav,aby
aby\aby_65.wav,aby
aby\aby_88.wav,aby
aby\aby_150.wav,aby
aby\aby_21.wav,aby
aby\aby_58.wav,aby
aby\aby_62.wav,aby
aby\aby_18.wav,aby
aby\aby_119.wav,aby
aby\aby_122.wav,aby
aby\aby_31.wav,aby
aby\aby_36.wav,aby
aby\aby_115.wav,aby
aby\aby_77.wav,aby
aby\aby_46.wav,aby
aby\aby_22.wav,aby
aby\aby_54.wav,aby
aby\aby_97.wav,aby
aby\aby_118.wav,aby
aby\aby_128.wav,aby
aby\aby_37.wav,aby
aby\aby_75.wav,aby
aby\aby_19.wav,aby
aby\aby_79.wav,aby
aby\aby_145.wav,aby
aby\aby_103.wav,aby
aby\aby_60.wav,aby
aby\aby_86.wav,aby
aby\aby_70.wav,aby
aby\aby_52.wav,aby
aby\aby_15.wav,aby
aby\aby_81.wav,aby
aby\aby_5.wav,aby
aby\aby_137.wav,aby
aby\aby_29.wav,aby
aby\aby_108.wav,aby
aby\aby_72.wav,aby
aby\aby_138.wav,aby
aby\aby_94.wav,aby
aby\aby_134.wav,aby
aby\aby_131.wav,aby
aby\aby_49.wav,aby
ach\ach_5.wav,ach
ach\ach_3.wav,ach
ach\ach_7.wav,ach
achaba\achaba_3.wav,achaba
achaba\achaba_4.wav,achaba
aczkolwiek\aczkolwiek_1.wav,aczkolwiek
aczkolwiek\aczkolwiek_2.wav,aczkolwiek
adam\adam_17.wav,adam
adam\adam_10.wav,adam
adam\adam_1.wav,adam
adam\adam_3.wav,adam
adam\adam_14.wav,adam
adam\adam_2.wav,adam
adam\adam_5.wav,adam
adam\adam_13.wav,adam
adama\adama_7.wav,adama
adama\adama_3.wav,adama
adama\adama_1.wav,adama
adama\adama_6.wav,adama
adamowa\adamowa_2.wav,adamowa
adamowa\adamowa_4.wav,adamowa
adamowi\adamowi_1.wav,adamowi
adamusa\adamusa_1.wav,adamusa
adaptacja\adaptacja_2.wav,adaptacja
adaptacja\adaptacja_3.wav,adaptacja
adasia\adasia_4.wav,adasia
adasia\adasia_6.wav,adasia
adasia\adasia_5.wav,adasia
adasiu\adasiu_3.wav,adasiu
adasiu\adasiu_1.wav,adasiu
adasiu\adasiu_6.wav,adasiu
adaś\adaś_9.wav,adaś
adaś\adaś_12.wav,adaś
adaś\adaś_14.wav,adaś
adaś\adaś_2.wav,adaś
adaś\adaś_11.wav,adaś
adaś\adaś_6.wav,adaś
adaś\adaś_7.wav,adaś
adeptce\adeptce_2.wav,adeptce
adeptce\adeptce_4.wav,adeptce
adiutantów\adiutantów_3.wav,adiutantów
adolf\adolf_2.wav,adolf
adolf\adolf_4.wav,adolf
adoniramowi\adoniramowi_4.wav,adoniramowi
adoniramowi\adoniramowi_3.wav,adoniramowi
adorowali\adorowali_4.wav,adorowali
adorowali\adorowali_3.wav,adorowali
adrenaliny\adrenaliny_2.wav,adrenaliny
adrenaliny\adrenaliny_3.wav,adrenaliny
adres\adres_2.wav,adres
adres\adres_1.wav,adres
adresy\adresy_4.wav,adresy
adresy\adresy_3.wav,adresy
adrian\adrian_4.wav,adrian
adrian\adrian_3.wav,adrian
adriana\adriana_1.wav,adriana
adriana\adriana_3.wav,adriana
adu\adu_4.wav,adu
adu\adu_2.wav,adu
advanced\advanced_1.wav,advanced
adwokatem\adwokatem_1.wav,adwokatem
adwokatem\adwokatem_3.wav,adwokatem
aferze\aferze_3.wav,aferze
aferze\aferze_2.wav,aferze
afirmacji\afirmacji_2.wav,afirmacji
afirmacji\afirmacji_3.wav,afirmacji
aforyzmem\aforyzmem_2.wav,aforyzmem
aforyzmem\aforyzmem_1.wav,aforyzmem
aforyzmu\aforyzmu_1.wav,aforyzmu
aforyzmu\aforyzmu_3.wav,aforyzmu
aforyzmy\aforyzmy_4.wav,aforyzmy
aforyzmy\aforyzmy_2.wav,aforyzmy
afryce\afryce_3.wav,afryce
afryce\afryce_1.wav,afryce
agencji\agencji_2.wav,agencji
agencji\agencji_4.wav,agencji
agencję\agencję_4.wav,agencję
agencję\agencję_3.wav,agencję
agitacja\agitacja_3.wav,agitacja
agitacja\agitacja_1.wav,agitacja
agnieszka\agnieszka_3.wav,agnieszka
agnieszka\agnieszka_1.wav,agnieszka
agnieszko\agnieszko_3.wav,agnieszko
agnieszko\agnieszko_1.wav,agnieszko
agnisia\agnisia_1.wav,agnisia
agnisia\agnisia_2.wav,agnisia
agrarnej\agrarnej_1.wav,agrarnej
agrarnej\agrarnej_3.wav,agrarnej
agresja\agresja_2.wav,agresja
agresja\agresja_4.wav,agresja
agresji\agresji_1.wav,agresji
agresji\agresji_7.wav,agresji
agresji\agresji_2.wav,agresji
agresji\agresji_8.wav,agresji
agresorów\agresorów_1.wav,agresorów
agresorów\agresorów_2.wav,agresorów
aha\aha_1.wav,aha
aimee\aimee_1.wav,aimee
aimee\aimee_5.wav,aimee
aimee\aimee_4.wav,aimee
aimee\aimee_6.wav,aimee
aimee\aimee_8.wav,aimee
aimee\aimee_10.wav,aimee
aimée\aimée_3.wav,aimée
aimée\aimée_4.wav,aimée
akademik\akademik_1.wav,akademik
akcenty\akcenty_2.wav,akcenty
akcenty\akcenty_4.wav,akcenty
akceptację\akceptację_1.wav,akceptację
akceptację\akceptację_3.wav,akceptację
akceptował\akceptował_1.wav,akceptował
akceptował\akceptował_5.wav,akceptował
akcesoria\akcesoria_2.wav,akcesoria
akcesoria\akcesoria_4.wav,akcesoria
akcja\akcja_2.wav,akcja
akcja\akcja_1.wav,akcja
akcje\akcje_2.wav,akcje
akcje\akcje_3.wav,akcje
akcji\akcji_7.wav,akcji
akcji\akcji_17.wav,akcji
akcji\akcji_8.wav,akcji
akcji\akcji_2.wav,akcji
akcji\akcji_10.wav,akcji
akcji\akcji_14.wav,akcji
akcji\akcji_5.wav,akcji
akcji\akcji_15.wav,akcji
akcją\akcją_1.wav,akcją
akcją\akcją_3.wav,akcją
akompaniamencie\akompaniamencie_2.wav,akompaniamencie
akompaniamencie\akompaniamencie_3.wav,akompaniamencie
akord\akord_2.wav,akord
aksjologiczne\aksjologiczne_4.wav,aksjologiczne
aksjologiczne\aksjologiczne_3.wav,aksjologiczne
aksjologiczne\aksjologiczne_7.wav,aksjologiczne
aksjologiczne\aksjologiczne_2.wav,aksjologiczne
akt\akt_5.wav,akt
akt\akt_1.wav,akt
akt\akt_10.wav,akt
akt\akt_7.wav,akt
akt\akt_12.wav,akt
akt\akt_8.wav,akt
aktor\aktor_8.wav,aktor
aktor\aktor_5.wav,aktor
aktor\aktor_3.wav,aktor
aktor\aktor_7.wav,aktor
aktorem\aktorem_1.wav,aktorem
aktorem\aktorem_6.wav,aktorem
aktorem\aktorem_3.wav,aktorem
aktorem\aktorem_8.wav,aktorem
aktorki\aktorki_3.wav,aktorki
aktorki\aktorki_1.wav,aktorki
aktorką\aktorką_2.wav,aktorką
aktorką\aktorką_3.wav,aktorką
aktorska\aktorska_3.wav,aktorska
aktorska\aktorska_1.wav,aktorska
aktorskiego\aktorskiego_4.wav,aktorskiego
aktorskiego\aktorskiego_3.wav,aktorskiego
aktorstwa\aktorstwa_10.wav,aktorstwa
aktorstwa\aktorstwa_9.wav,aktorstwa
aktorstwa\aktorstwa_1.wav,aktorstwa
aktorstwa\aktorstwa_2.wav,aktorstwa
aktorstwa\aktorstwa_8.wav,aktorstwa
aktorstwo\aktorstwo_3.wav,aktorstwo
aktorstwo\aktorstwo_4.wav,aktorstwo
aktorzy\aktorzy_2.wav,aktorzy
aktorzy\aktorzy_4.wav,aktorzy
aktorów\aktorów_7.wav,aktorów
aktorów\aktorów_4.wav,aktorów
aktorów\aktorów_8.wav,aktorów
aktorów\aktorów_2.wav,aktorów
aktualiów\aktualiów_2.wav,aktualiów
aktualiów\aktualiów_4.wav,aktualiów
aktualnym\aktualnym_3.wav,aktualnym
aktualnym\aktualnym_2.wav,aktualnym
akty\akty_3.wav,akty
akty\akty_4.wav,akty
aktywnego\aktywnego_4.wav,aktywnego
aktywnego\aktywnego_3.wav,aktywnego
aktywność\aktywność_3.wav,aktywność
aktywność\aktywność_1.wav,aktywność
akurat\akurat_2.wav,akurat
akurat\akurat_8.wav,akurat
akurat\akurat_5.wav,akurat
akurat\akurat_3.wav,akurat
akurat\akurat_7.wav,akurat
akurat\akurat_4.wav,akurat
akuratnie\akuratnie_1.wav,akuratnie
akuszera\akuszera_3.wav,akuszera
akwarium\akwarium_3.wav,akwarium
akwarium\akwarium_1.wav,akwarium
akwinu\akwinu_4.wav,akwinu
akwinu\akwinu_6.wav,akwinu
akwinu\akwinu_3.wav,akwinu
alafghani\alafghani_1.wav,alafghani
alafghani\alafghani_3.wav,alafghani
albert\albert_5.wav,albert
albert\albert_1.wav,albert
albert\albert_8.wav,albert
albert\albert_6.wav,albert
albin\albin_3.wav,albin
albin\albin_1.wav,albin
albin\albin_5.wav,albin
albinus\albinus_2.wav,albinus
albinus\albinus_1.wav,albinus
albo\albo_16.wav,albo
albo\albo_62.wav,albo
albo\albo_8.wav,albo
albo\albo_18.wav,albo
albo\albo_1.wav,albo
albo\albo_9.wav,albo
albo\albo_64.wav,albo
albo\albo_57.wav,albo
albo\albo_26.wav,albo
albo\albo_42.wav,albo
albo\albo_34.wav,albo
albo\albo_22.wav,albo
albo\albo_4.wav,albo
albo\albo_10.wav,albo
albo\albo_61.wav,albo
albo\albo_48.wav,albo
albo\albo_55.wav,albo
albo\albo_6.wav,albo
albo\albo_49.wav,albo
albo\albo_44.wav,albo
albo\albo_65.wav,albo
albo\albo_43.wav,albo
albo\albo_36.wav,albo
albo\albo_20.wav,albo
albo\albo_11.wav,albo
albo\albo_37.wav,albo
albo\albo_69.wav,albo
albo\albo_28.wav,albo
albo\albo_14.wav,albo
albo\albo_45.wav,albo
albo\albo_24.wav,albo
albo\albo_2.wav,albo
albo\albo_63.wav,albo
albo\albo_33.wav,albo
albo\albo_68.wav,albo
albowiem\albowiem_10.wav,albowiem
albowiem\albowiem_3.wav,albowiem
albowiem\albowiem_2.wav,albowiem
albowiem\albowiem_7.wav,albowiem
albowiem\albowiem_9.wav,albowiem
album\album_2.wav,album
album\album_4.wav,album
albumu\albumu_2.wav,albumu
albumu\albumu_4.wav,albumu
albumu\albumu_7.wav,albumu
albus\albus_1.wav,albus
albus\albus_3.wav,albus
ale\ale_441.wav,ale
ale\ale_179.wav,ale
ale\ale_411.wav,ale
ale\ale_387.wav,ale
ale\ale_28.wav,ale
ale\ale_195.wav,ale
ale\ale_481.wav,ale
ale\ale_127.wav,ale
ale\ale_32.wav,ale
ale\ale_112.wav,ale
ale\ale_46.wav,ale
ale\ale_64.wav,ale
ale\ale_213.wav,ale
ale\ale_144.wav,ale
ale\ale_491.wav,ale
ale\ale_211.wav,ale
ale\ale_41.wav,ale
ale\ale_83.wav,ale
ale\ale_134.wav,ale
ale\ale_443.wav,ale
ale\ale_450.wav,ale
ale\ale_43.wav,ale
ale\ale_89.wav,ale
ale\ale_54.wav,ale
ale\ale_244.wav,ale
ale\ale_336.wav,ale
ale\ale_166.wav,ale
ale\ale_187.wav,ale
ale\ale_320.wav,ale
ale\ale_418.wav,ale
ale\ale_152.wav,ale
ale\ale_364.wav,ale
ale\ale_316.wav,ale
ale\ale_110.wav,ale
ale\ale_262.wav,ale
ale\ale_87.wav,ale
ale\ale_278.wav,ale
ale\ale_193.wav,ale
ale\ale_148.wav,ale
ale\ale_70.wav,ale
ale\ale_385.wav,ale
ale\ale_432.wav,ale
ale\ale_332.wav,ale
ale\ale_408.wav,ale
ale\ale_466.wav,ale
ale\ale_311.wav,ale
ale\ale_171.wav,ale
ale\ale_402.wav,ale
ale\ale_353.wav,ale
ale\ale_113.wav,ale
ale\ale_145.wav,ale
ale\ale_470.wav,ale
ale\ale_215.wav,ale
ale\ale_391.wav,ale
ale\ale_60.wav,ale
ale\ale_447.wav,ale
ale\ale_212.wav,ale
ale\ale_49.wav,ale
ale\ale_135.wav,ale
ale\ale_86.wav,ale
ale\ale_104.wav,ale
ale\ale_496.wav,ale
ale\ale_129.wav,ale
ale\ale_440.wav,ale
ale\ale_219.wav,ale
ale\ale_488.wav,ale
ale\ale_201.wav,ale
ale\ale_20.wav,ale
ale\ale_293.wav,ale
ale\ale_499.wav,ale
ale\ale_270.wav,ale
ale\ale_318.wav,ale
ale\ale_18.wav,ale
ale\ale_210.wav,ale
ale\ale_126.wav,ale
ale\ale_494.wav,ale
ale\ale_58.wav,ale
ale\ale_263.wav,ale
ale\ale_480.wav,ale
ale\ale_205.wav,ale
ale\ale_462.wav,ale
ale\ale_406.wav,ale
ale\ale_428.wav,ale
ale\ale_459.wav,ale
ale\ale_359.wav,ale
ale\ale_125.wav,ale
